Site Name,Province,AFIAT Wave,NGO,Supplier Name,Item Name,Item Category,Item Unit,Donor Name,Batch,Expiry Date,Pack Size,Quantity,Unit Price,Currency,Total Price,Total Stock
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Ferrous sulfate 125 mg/5 ml- in 120 ml- oral ingestion liquid,Medicine ,Bottle,World Bank,5150877,6/30/2024,1,335,0.47,USD,157,335
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,First aid kit class A,Medical Supply,Kit,UNICEF,100024211,5/31/2024,1,58,30.9,USD,1794,58
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Fluoxetine 20 mg per capsule- oral ingestion capsule,Medicine ,Tablet,UNICEF,UFL245,7/31/2023,100,37,1.18,USD,43.7,3700
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Fluoxetine 20 mg per capsule- oral ingestion capsule,Medicine ,Tablet,World Bank,UFL244,7/31/2023,100,110,1.17,USD,129,11000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Fluoxetine 20 mg per capsule- oral ingestion capsule,Medicine ,Tablet,World Bank,UFL245,7/31/2023,100,37,1.18,USD,43.7,3700
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Furosemide 10 mg/ml- in 2 ml ampoule- injection solution,Medicine ,Ampoule,World Bank,21G28,7/31/2024,10,620,1.94,USD,1203,6200
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Gentamicin 10 mg/ml- in 2 ml ampoule- injection solution,Medicine ,Ampoule,UNICEF,1EB02119,3/31/2024,50,181,3.44,USD,623,9050
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Gentamicin 10 mg/ml- in 2 ml ampoule- injection solution,Medicine ,Ampoule,World Bank,1EB02119,3/31/2024,50,181,3.44,USD,623,9050
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Gloves exam latex Medium,Medical Supply,Box,UNICEF,PIA02507,2/29/2024,100,18,11.3,USD,204,1800
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Glucose hypertonic 50% 50ml inj,Medicine ,Vial,UNICEF,128010,7/31/2024,25,7,57,USD,399,175
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Goggles- protective- indirect-side-venti,Medical Supply,Each,UNICEF,20200428,4/30/2023,1,5,2.8,USD,14,5
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Gown- isolation- nonwoven disp. L,Medical Supply,Each,UNICEF,20200730,7/31/2023,1,230,3.35,USD,771,230
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Gown- isolation- nonwoven disp. XL,Medical Supply,Each,UNICEF,20200730,7/31/2023,1,9,3.44,USD,31,9
