"Site Name","Province","AFIAT Wave","NGO","Supplier Name","Item Name","Item Code","Item Category","Item Unit","Donor Name","Batch","Expiry Date","Pack Size","Quantity","Unit Price","Currency","Total Price","Total Stock"
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Lidocaine hcl (Lignocaine) 1% inj  vial,224,Medicine ,Vial,World Bank,20487010,2023-10-28,20,6,14.8,USD,89.0,120
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Mask, highfil, FFP2/N95/KN95 novalve",474,Medical Supply,Each,UNICEF,20200630,2023-06-30,1,6,101,USD,603,6
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,UNICEF,20IQ151,2023-08-31,200,486,24.4,USD,11863,97200
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,UNICEF,20IQ218,2023-08-31,200,75,24,USD,1800,15000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,UNICEF,20IQ221,2023-08-31,200,101,24,USD,2424,20200
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,World Bank,20IQ151,2023-08-31,200,52,24.4,USD,1270,10400
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,World Bank,20IQ220,2023-08-31,200,300,24,USD,7200,60000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Metoclopramide 5 mg/ml, in 2 ml, injection solution",234,Medicine ,Ampoule,UNICEF,50503,2023-12-31,1,163,3.02,USD,492,163
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Metoclopramide 5 mg/ml, in 2 ml, injection solution",234,Medicine ,Ampoule,World Bank,42509,2023-10-31,10,230,2.85,USD,656,2300
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Metronidazole 250 mg per tablet, oral ingestion tablet",83,Medicine ,Tablet,UNICEF,UME1189,2023-09-30,100,146,0.860,USD,126,14600
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Metronidazole 5 mg /ml, in 100 ml bottle, solution for infusion with set",238,Medicine ,Bottle,World Bank,22D06E4Y,2024-03-31,40,40,20.3,USD,811,1600
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,UNICEF,45220702,2024-06-27,4,431,0.530,USD,228,1724
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,UNICEF,ACE2106073,2023-05-31,4,154,0.500,USD,77,616
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,World Bank,ACE2112118,2023-11-30,4,640,0.530,USD,339,2560
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Multi-micronutrient Sach pwd,241,Medicine ,Sachet,UNICEF,X0920344,2023-10-31,30,419,0.450,USD,189,12570
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Multi-micronutrient tab For Pregnant & Lactation Women  tab,242,Medicine ,Tablet,UNICEF,TJ0362,2023-09-30,1000,119,12.2,USD,1451,119000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Oral rehydration salts (ORS) 20.5 g per litre, oral powder",95,Medicine ,Sachet,UNICEF,X0521064,2024-07-31,10,103,0.420,USD,43.3,1030
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Paracetamol (Acetaminophen) 120 mg per 5 milliliters, oral syrup, 60ml",98,Medicine ,Bottle,UNICEF,2H01965,2024-07-01,1,5394,0.230,USD,1241,5394
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Penicillin benzyl benzathine 2.4 MU per vial, injection vial",15-2,Medicine ,Vial,UNICEF,J2103201,2024-02-29,50,11,23.8,USD,262,550
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Penicillin benzyl benzathine 2.4 MU per vial, injection vial",15-2,Medicine ,Vial,World Bank,J2103201,2024-02-29,50,11,23.8,USD,262,550
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Permethrin Shampoo 1% Solution,264,Medicine ,Bottle,UNICEF,B859A,2023-09-01,1,696,1,USD,696,696
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Salbutamol 0.1 mg per dose, in 200 dose bottle, inhalation solution",111,Medicine ,Inhaler,UNICEF,008P177A,2023-10-31,1,127,1.28,USD,163,127
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Silver sulfadiazine 1%, topical cream 50g",113,Medicine ,Tube,UNICEF,5149866,2023-08-31,1,315,0.540,USD,170,315
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Sulfamethoxazole 100 mg + trimethoprim 20 mg (co-trimoxazole) per tablet,294,Medicine ,Tablet,UNICEF,MG20681,2023-09-30,100,61,2.06,USD,126,6100
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Suxamethonium 50 mg/ml, in 2 ml ampoule, injection solution",116,Medicine ,Vial,World Bank,141135,2024-01-31,10,11,7.63,USD,83.9,110
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Suxamethonium 50 mg/ml, in 2 ml ampoule, injection solution",116,Medicine ,Vial,World Bank,141135,2024-01-31,100,11,7.63,USD,83.9,1100
Ghazni PW,Ghazni,W2,JACK,UNICEF,"Atracurium Besylate 10 mg per milliliter, solution for injection",M03AC04,Medicine ,Ampoule,UNICEF,204017,2024-02-29,10,21,22.2,USD,466,420
Ghor PW,Ghor,W2,BARAN,UNICEF,"Adrenaline (Epinephrine) 0.1% in 1 ml ampoule, injection solution",C01CA24,Medicine ,Ampoule,UNICEF,2107443,2024-03-31,10,71,3.85,AFN,273,270
Ghor PW,Ghor,W2,BARAN,UNICEF,"Adrenaline (Epinephrine) 0.1% in 1 ml ampoule, injection solution",C01CA24,Medicine ,Ampoule,UNICEF,2107443,2024-03-31,10,71,3.85,USD,273,90
Ghor PW,Ghor,W2,BARAN,UNICEF,"Adrenaline (Epinephrine) 0.1% in 1 ml ampoule, injection solution",C01CA24,Medicine ,Ampoule,UNICEF,2107443,2024-03-31,10,115,3.85,USD,443,1150
Ghor PW,Ghor,W2,BARAN,UNICEF,"Albendazole 400 mg per tablet, oral chewable tablet",P02CA03,Medicine ,Tablet,UNICEF,1MG96,2024-06-30,100,130,3.25,AFN,423,37600
Ghor PW,Ghor,W2,BARAN,UNICEF,"Albendazole 400 mg per tablet, oral chewable tablet",P02CA03,Medicine ,Tablet,UNICEF,1MG96,2024-06-30,100,130,3.25,USD,423,9400
Ghor PW,Ghor,W2,BARAN,UNICEF,"Atracurium Besylate 10 mg per milliliter, solution for injection",M03AC04,Medicine ,Ampoule,UNICEF,204017,2024-02-29,10,73,22.2,USD,1621,1460
Ghor PW,Ghor,W2,BARAN,UNICEF,"AWD, Periphery Kit Drug",AWD-PKD,Others,Each,UNICEF,100027030,2024-06-30,1,1,852,USD,852,1
Ghor PW,Ghor,W2,BARAN,UNICEF,"AWD, Periphery kit, Logistic Part",AWD-PKLP,Others,Each,UNICEF,100026507,2024-05-31,1,2,1112,USD,2224,2
Ghor PW,Ghor,W2,BARAN,UNICEF,"AWD, Periphery kit, Renewable",424,Others,Each,UNICEF,100024237,2023-03-31,1,10,544,USD,5442,10
Ghor PW,Ghor,W2,BARAN,UNICEF,"Calcium gluconate 10% in 10 ml ampoule, injection ampoule",A12AA03,Medicine ,Ampoule,UNICEF,2103936,2024-05-31,10,71,4.85,AFN,344,4920
Ghor PW,Ghor,W2,BARAN,UNICEF,"Calcium gluconate 10% in 10 ml ampoule, injection ampoule",A12AA03,Medicine ,Ampoule,UNICEF,2103936,2024-05-31,10,71,4.85,USD,344,410
Ghor PW,Ghor,W2,BARAN,UNICEF,"Catheter,Foley,CH10,Sterile,disposible",312,Medical Supply,Each,UNICEF,201907,2024-06-30,1,14,0.420,USD,5.88,14
Ghor PW,Ghor,W2,BARAN,UNICEF,"Catheter,Foley,CH12,Sterile,disposible",313,Medical Supply,Each,UNICEF,R21B501,2024-01-31,1,14,0.280,USD,3.92,14
Ghor PW,Ghor,W2,BARAN,UNICEF,"Ceftriaxone 1 g per vial, injection powder",J01DD04,Medicine ,Vial,UNICEF,18U2758,2024-07-31,10,1111,7.30,AFN,8110,20860
Ghor PW,Ghor,W2,BARAN,UNICEF,"Ceftriaxone 1 g per vial, injection powder",J01DD04,Medicine ,Vial,UNICEF,18U2758,2024-07-31,10,1111,7.30,USD,8110,10430
Ghor PW,Ghor,W2,BARAN,UNICEF,Chlorhexidine 5% 100ml,D08AC02,Medicine ,Bottle,UNICEF,S2000481,2023-08-31,1,32,0.500,USD,16,32
Ghor PW,Ghor,W2,BARAN,UNICEF,"Coverall, protection, Catlll type 6b L",428,Medical Supply,Each,UNICEF,20200715,2023-07-31,1,200,7.66,USD,1532,200
Ghor PW,Ghor,W2,BARAN,UNICEF,"Coverall, protection, Catlll type 6b L",428,Medical Supply,Each,UNICEF,20200730,2023-07-31,1,150,7.66,USD,1149,150
Ghor PW,Ghor,W2,BARAN,UNICEF,"Coverall, protection, Catlll type 6b M",426,Medical Supply,Each,UNICEF,20200530,2023-05-31,1,2,8,USD,16,2
Ghor PW,Ghor,W2,BARAN,UNICEF,"Coverall, protection, Catlll type 6b M",426,Medical Supply,Each,UNICEF,20200630,2023-06-30,1,250,7.82,USD,1955,250
Ghor PW,Ghor,W2,BARAN,UNICEF,"Coverall, protection, Catlll type 6b XL",427,Medical Supply,Each,UNICEF,20200630,2023-06-30,1,500,7.61,USD,3805,500
Ghor PW,Ghor,W2,BARAN,UNICEF,"Coverall, protection, Catlll type 6b XL",427,Medical Supply,Each,UNICEF,20200715,2023-07-31,1,2,8,USD,16,2
Ghor PW,Ghor,W2,BARAN,UNICEF,"Digoxin 0.25 mg per tablet, oral ingestion tablet",42,Medicine ,Tablet,UNICEF,GQ21001,2024-01-31,28,11,1.54,USD,16.9,308
Ghor PW,Ghor,W2,BARAN,UNICEF,"Dopamine 40 mg per milliliter, in 5 ml solution for injection",44,Medicine ,Ampoule,UNICEF,136335,2024-05-31,10,1,24,AFN,24,5
Ghor PW,Ghor,W2,BARAN,UNICEF,"Dopamine 40 mg per milliliter, in 5 ml solution for injection",44,Medicine ,Ampoule,UNICEF,136335,2024-05-31,10,1,24,USD,24,5
Ghor PW,Ghor,W2,BARAN,UNICEF,"Fluoxetine 20 mg per capsule, oral ingestion capsule",195,Medicine ,Tablet,UNICEF,UFL244,2023-07-31,100,195,1.17,AFN,228,25000
Ghor PW,Ghor,W2,BARAN,UNICEF,"Fluoxetine 20 mg per capsule, oral ingestion capsule",195,Medicine ,Tablet,UNICEF,UFL244,2023-07-31,100,195,1.17,USD,228,12500
Ghor PW,Ghor,W2,BARAN,UNICEF,"Furosemide 10 mg/ml, in 2 ml ampoule, injection solution",53-2,Medicine ,Ampoule,UNICEF,21G27,2024-07-31,10,160,1.94,AFN,310,5670
Ghor PW,Ghor,W2,BARAN,UNICEF,"Furosemide 10 mg/ml, in 2 ml ampoule, injection solution",53-2,Medicine ,Ampoule,UNICEF,21G27,2024-07-31,10,160,1.94,USD,310,810
Ghor PW,Ghor,W2,BARAN,UNICEF,"Furosemide 10 mg/ml, in 2 ml ampoule, injection solution",53-2,Medicine ,Ampoule,UNICEF,21G28,2024-07-31,10,930,1.94,USD,1804,9300
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gentamicin 10 mg/ml, in 2 ml ampoule, injection solution",197,Medicine ,Ampoule,UNICEF,1EB05145,2024-03-31,50,120,3.44,AFN,413,101250
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gentamicin 10 mg/ml, in 2 ml ampoule, injection solution",197,Medicine ,Ampoule,UNICEF,1EB05145,2024-03-31,50,120,3.44,USD,413,3750
Ghor PW,Ghor,W2,BARAN,UNICEF,Glyceryl Trinitrate 500mcg tab,212,Medicine ,Tablet,UNICEF,GF943,2024-03-31,100,19,3.94,USD,74.9,1900
Ghor PW,Ghor,W2,BARAN,UNICEF,"Goggles, protective, indirect-side-venti",433,Medical Supply,Each,UNICEF,20200428,2023-04-30,1,1,3,USD,3,1
Ghor PW,Ghor,W2,BARAN,UNICEF,"Goggles, protective, indirect-side-venti",433,Medical Supply,Each,UNICEF,20200428,2023-04-30,1,500,2.78,USD,1390,500
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gown, isolation, nonwoven disp. L",429,Medical Supply,Each,UNICEF,20200715,2023-07-31,1,700,3.35,USD,2345,700
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gown, isolation, nonwoven disp. L",429,Medical Supply,Each,UNICEF,20200730,2023-07-31,1,300,3.35,USD,1005,300
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gown, isolation, nonwoven disp. XL",430,Medical Supply,Each,UNICEF,20200715,2023-07-31,1,1000,3.35,USD,3350,1000
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gown, isolation, nonwoven disp. XL",430,Medical Supply,Each,UNICEF,20200730,2023-07-31,1,10,3.40,USD,34,10
Ghor PW,Ghor,W2,BARAN,UNICEF,"Gown, surgic, nonsterile, nonwoven",472,Medical Supply,Each,UNICEF,20200730,2023-07-31,1,10,5.10,USD,51,10
Ghor PW,Ghor,W2,BARAN,UNICEF,"Haloperidol 5 mg/ml, in 1 ml, injection solution",214,Medicine ,Ampoule,UNICEF,207714,2024-01-31,10,230,4.51,USD,1037,2300
Ghor PW,Ghor,W2,BARAN,UNICEF,"Mask, highfil, FFP2/N95/KN95 novalve",474,Medical Supply,Each,UNICEF,20200630,2023-06-30,10,7,100,USD,703,70
Ghor PW,Ghor,W2,BARAN,UNICEF,"Mask, surgic, typeIIR, ear loop disp.",425,Medical Supply,Each,UNICEF,20200715,2023-09-30,50,1500,17.0,USD,25440,75000
Ghor PW,Ghor,W2,BARAN,UNICEF,"Mask, surgic, typeIIR, ear loop disp.",425,Medical Supply,Each,UNICEF,2081597NW,2023-06-30,50,200,17.0,AFN,3392,27900
Ghor PW,Ghor,W2,BARAN,UNICEF,"Mask, surgic, typeIIR, ear loop disp.",425,Medical Supply,Each,UNICEF,2081597NW,2023-06-30,50,200,17.0,USD,3392,9300
Ghor PW,Ghor,W2,BARAN,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,UNICEF,00IQ220,2023-08-31,200,440,24,AFN,10560,1539000
Ghor PW,Ghor,W2,BARAN,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,UNICEF,00IQ220,2023-08-31,200,440,24,USD,10560,57000
Ghor PW,Ghor,W2,BARAN,UNICEF,Mebendazole 500mg tab,230,Medicine ,Tablet,UNICEF,20JQ052,2023-09-30,200,264,24,USD,6336,52800
Ghor PW,Ghor,W2,BARAN,UNICEF,"Metoclopramide 5 mg/ml, in 2 ml, injection solution",234,Medicine ,Ampoule,UNICEF,42509,2023-10-31,10,340,2.85,AFN,969,28420
Ghor PW,Ghor,W2,BARAN,UNICEF,"Metoclopramide 5 mg/ml, in 2 ml, injection solution",234,Medicine ,Ampoule,UNICEF,42509,2023-10-31,10,340,2.85,USD,969,580
Ghor PW,Ghor,W2,BARAN,UNICEF,"Metronidazole 5 mg /ml, in 100 ml bottle, solution for infusion with set",238,Medicine ,Bottle,UNICEF,22D04E4U,2024-03-31,50,60,20.3,AFN,1217,2980
Ghor PW,Ghor,W2,BARAN,UNICEF,"Metronidazole 5 mg /ml, in 100 ml bottle, solution for infusion with set",238,Medicine ,Bottle,UNICEF,22D04E4U,2024-03-31,50,60,20.3,USD,1217,1490
Ghor PW,Ghor,W2,BARAN,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,UNICEF,45220801,2024-07-31,4,647,0.530,USD,343,2588
Ghor PW,Ghor,W2,BARAN,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,UNICEF,45220805,2024-07-31,4,1773,0.530,USD,940,7092
Ghor PW,Ghor,W2,BARAN,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,UNICEF,ACE2112118,2023-11-30,4,950,0.530,AFN,504,67620
Ghor PW,Ghor,W2,BARAN,UNICEF,Misoprostol 200 mcg tab,85,Medicine-HII,Tablet,UNICEF,ACE2112118,2023-11-30,4,950,0.530,USD,504,2940
Ghor PW,Ghor,W2,BARAN,UNICEF,"Neostigmine methylsulfate 2.5mg per milliliter, solution for injection",484,Medicine ,Ampoule,UNICEF,103024,2024-02-29,10,84,9.88,USD,830,840
Ghor PW,Ghor,W2,BARAN,UNICEF,"Penicillin benzyl benzathine 2.4 MU per vial, injection vial",15-2,Medicine ,Vial,UNICEF,J2103202,2024-02-29,50,24,23.8,AFN,572,2400
Ghor PW,Ghor,W2,BARAN,UNICEF,"Penicillin benzyl benzathine 2.4 MU per vial, injection vial",15-2,Medicine ,Vial,UNICEF,J2103202,2024-02-29,50,24,23.8,USD,572,400
Ghor PW,Ghor,W2,BARAN,UNICEF,Permethrin Shampoo 1% Solution,264,Medicine ,Bottle,UNICEF,B860A,2023-09-30,1,1044,1,AFN,1044,14518
Ghor PW,Ghor,W2,BARAN,UNICEF,Permethrin Shampoo 1% Solution,264,Medicine ,Bottle,UNICEF,B860A,2023-09-30,1,1044,1,USD,1044,854
Ghor PW,Ghor,W2,BARAN,UNICEF,"Propofol 10 mg per milliliter, in 20 ml, solution for infusion",421,Medicine ,Ampoule,UNICEF,22136051,2024-03-31,5,5,7.60,USD,38,25
Ghor PW,Ghor,W2,BARAN,UNICEF,"Propofol 10 mg per milliliter, in 20 ml, solution for infusion",421,Medicine ,Ampoule,UNICEF,22136051,2024-03-31,5,110,7.57,USD,833,550
Ghor PW,Ghor,W2,BARAN,UNICEF,"Suxamethonium 50 mg/ml, in 2 ml ampoule, injection solution",116,Medicine ,Vial,UNICEF,141135,2024-01-31,1,36,8.19,USD,295,36
Ghor PW,Ghor,W2,BARAN,UNICEF,"Suxamethonium 50 mg/ml, in 2 ml ampoule, injection solution",116,Medicine ,Vial,UNICEF,141135,2024-01-31,10,34,7.61,AFN,259,320
Ghor PW,Ghor,W2,BARAN,UNICEF,"Suxamethonium 50 mg/ml, in 2 ml ampoule, injection solution",116,Medicine ,Vial,UNICEF,141135,2024-01-31,10,34,7.61,USD,259,320
Helmand PW,Helmand,W2,OHPM,UNICEF,"Acetylsalicylic acid (aspirin) 75 mg per tablet, oral ingestion tablet",[B01AC06,Medicine ,Tablet,World Bank,D20022,2024-01-12,10,7156,0.200,USD,1431,71560
Helmand PW,Helmand,W2,OHPM,UNICEF,"Acetylsalicylic acid (aspirin) 75 mg per tablet, oral ingestion tablet",[B01AC06,Medicine ,Tablet,,D20021,2024-01-01,28,1350,0.210,USD,284,37800
Helmand PW,Helmand,W2,OHPM,UNICEF,"Adrenaline (Epinephrine) 0.1% in 1 ml ampoule, injection solution",C01CA24,Medicine ,Ampoule,World Bank,2107443,2024-03-31,10,70,3.85,USD,270,1400
Helmand PW,Helmand,W2,OHPM,UNICEF,"Adrenaline (Epinephrine) 0.1% in 1 ml ampoule, injection solution",C01CA24,Medicine ,Ampoule,World Bank,2107443,2024-03-31,10,216,3.85,USD,832,2160
Helmand PW,Helmand,W2,OHPM,UNICEF,"Albendazole 400 mg per tablet, oral chewable tablet",P02CA03,Medicine ,Tablet,UNICEF,1MG96,2024-06-30,100,260,3.25,USD,845,26000
Helmand PW,Helmand,W2,OHPM,UNICEF,"Albendazole 400 mg per tablet, oral chewable tablet",P02CA03,Medicine ,Tablet,World Bank,1MG96,2024-06-30,100,253,3.25,USD,822,50600
